Time,Open,High,Low,Close
2021-03-26,51293.78,55073.46,51214.6,55025.59
2021-03-27,55025.59,56700.36,53950.0,55817.14
2021-03-28,55817.14,56559.75,54691.84,55777.63
2021-03-29,55777.65,58405.82,54800.01,57635.47
2021-03-30,57635.46,59368.0,57071.35,58746.57
2021-03-31,58746.57,59800.0,56769.0,58740.55
2021-04-01,58739.46,59490.0,57935.45,58720.44
2021-04-02,58720.45,60200.0,58428.57,58950.01
2021-04-03,58950.01,59791.72,56880.0,57051.94
2021-04-04,57051.95,58492.85,56388.0,58202.01
2021-04-05,58202.01,59272.0,56777.77,59129.99
2021-04-06,59129.99,59495.24,57413.02,57991.15
2021-04-07,57990.03,58655.0,55473.0,55953.45
2021-04-08,55953.44,58153.31,55700.0,58077.52
2021-04-09,58077.52,58894.9,57654.0,58142.54
2021-04-10,58142.55,61500.0,57900.01,59769.13
2021-04-11,59769.13,60699.0,59232.52,60002.43
2021-04-12,59998.8,61300.0,59350.59,59860.0
2021-04-13,59860.01,63777.77,59805.15,63575.0
2021-04-14,63575.01,64854.0,61301.0,62959.53
2021-04-15,62959.53,63800.0,62020.0,63159.98
2021-04-16,63158.74,63520.61,60000.0,61334.8
2021-04-17,61334.81,62506.05,59580.91,60006.66
2021-04-18,60006.67,60499.0,50931.3,56150.01
2021-04-19,56150.01,57526.81,54221.58,55633.14
2021-04-20,55633.14,57076.24,53329.96,56425.0
2021-04-21,56425.0,56757.91,53536.02,53787.63
2021-04-22,53787.62,55521.48,50500.0,51690.96
2021-04-23,51690.95,52131.85,47500.0,51125.14
2021-04-24,51110.56,51166.22,48657.14,50047.84
2021-04-25,50047.84,50567.91,46930.0,49066.77
2021-04-26,49066.76,54356.62,48753.44,54001.39
2021-04-27,54001.38,55460.0,53222.0,55011.97
2021-04-28,55011.97,56428.0,53813.16,54846.22
2021-04-29,54846.23,55195.84,52330.94,53555.0
2021-04-30,53555.0,57963.0,53013.01,57694.27
2021-05-01,57697.25,58458.07,56956.14,57800.37
2021-05-02,57797.35,57911.02,56035.25,56578.21
2021-05-03,56578.21,58981.44,56435.0,57169.39
2021-05-04,57169.39,57200.0,53046.69,53200.01
2021-05-05,53205.05,58069.82,52900.0,57436.11
2021-05-06,57436.11,58360.0,55200.0,56393.68
2021-05-07,56393.68,58650.0,55241.63,57314.75
2021-05-08,57315.49,59500.0,56900.0,58862.05
2021-05-09,58866.53,59300.0,56235.66,58240.84
2021-05-10,58240.83,59500.0,53400.0,55816.14
2021-05-11,55816.14,56862.43,54370.0,56670.02
2021-05-12,56670.02,58000.01,48600.0,49631.32
2021-05-13,49537.15,51367.19,46000.0,49670.97
2021-05-14,49671.92,51483.0,48799.75,49841.45
2021-05-15,49844.16,50700.0,46555.0,46762.99
2021-05-16,46762.99,49795.89,43825.39,46431.5
2021-05-17,46426.83,46686.0,42001.0,43538.04
2021-05-18,43538.02,45799.29,42250.02,42849.78
2021-05-19,42849.78,43584.9,30000.0,36690.09
2021-05-20,36671.23,42451.67,34850.0,40526.64
2021-05-21,40525.39,42200.0,33488.0,37252.01
2021-05-22,37263.35,38829.0,35200.62,37449.73
2021-05-23,37458.51,38270.64,31111.01,34655.25
2021-05-24,34681.44,39920.0,34031.0,38796.29
2021-05-25,38810.99,39791.77,36419.62,38324.72
2021-05-26,38324.72,40841.0,37800.44,39241.91
2021-05-27,39241.92,40411.14,37134.27,38529.98
2021-05-28,38529.99,38877.83,34684.0,35663.49
2021-05-29,35661.79,37338.58,33632.76,34605.15
2021-05-30,34605.15,36488.0,33379.0,35641.27
2021-05-31,35641.26,37499.0,34153.84,37253.81
2021-06-01,37253.82,37894.81,35666.0,36693.09
2021-06-02,36694.85,38225.0,35920.0,37568.68
2021-06-03,37568.68,39476.0,37170.0,39246.79
2021-06-04,39246.78,39289.07,35555.15,36829.0
2021-06-05,36829.15,37925.0,34800.0,35513.2
2021-06-06,35516.07,36480.0,35222.0,35796.31
2021-06-07,35796.31,36900.0,33300.0,33552.79
2021-06-08,33556.96,34068.01,31000.0,33380.81
2021-06-09,33380.8,37534.79,32396.82,37388.05
2021-06-10,37388.05,38491.0,35782.0,36675.72
2021-06-11,36677.83,37680.4,35936.77,37331.98
2021-06-12,37331.98,37463.63,34600.36,35546.11
2021-06-13,35546.12,39380.0,34757.0,39020.57
2021-06-14,39020.56,41064.05,38730.0,40516.29
2021-06-15,40516.28,41330.0,39506.4,40144.04
2021-06-16,40143.8,40527.14,38116.01,38349.01
2021-06-17,38349.0,39559.88,37365.0,38092.97
2021-06-18,38092.97,38202.84,35129.29,35819.84
2021-06-19,35820.48,36457.0,34803.52,35483.72
2021-06-20,35483.72,36137.72,33336.0,35600.16
2021-06-21,35600.17,35750.0,31251.23,31608.93
2021-06-22,31614.12,33298.78,28805.0,32509.56
2021-06-23,32509.56,34881.0,31683.0,33678.07
2021-06-24,33675.07,35298.0,32286.57,34663.09
