Time,Close,fng_value,pred_close,Rsi,sma_20,upper_bb,lower_bb,Weighted_Average
2018-05-30,7375.96,23,557.19,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3380.5963479740158
2018-05-31,7485.01,24,577.81,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3422.6155787432463
2018-06-01,7521.01,21,579.0,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3436.230963358631
2018-06-02,7640.03,27,590.85,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3482.4694248970923
2018-06-03,7714.26,23,619.66,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3510.7117325894
2018-06-04,7487.0,24,591.02,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3423.3809633586307
2018-06-05,7625.0,24,609.05,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3476.457886435554
2018-06-06,7658.84,26,607.4,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3489.6271172047846
2018-06-07,7691.08,27,605.16,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3502.104040281708
2018-06-08,7603.44,27,598.68,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3468.396347974015
2018-06-09,7491.73,27,592.87,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3425.4309633586304
2018-06-10,6764.99,24,524.11,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3145.6848095124765
2018-06-11,6872.0,28,531.69,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3187.1501941278616
2018-06-12,6530.0,28,493.0,52.13829379971531,1165.4690383104125,1360.209266713212,970.7288099076131,3055.6117325893993
2018-06-13,6292.78,22,475.47,27.26284236511109,1165.4690383104125,1360.209266713212,970.7288099076131,2961.998236325199
2018-06-14,6635.98,28,519.29,33.77304471142268,1165.4690383104125,1360.209266713212,970.7288099076131,3094.9605595826074
2018-06-15,6388.9,25,487.48,29.978176210300678,1165.4690383104125,1360.209266713212,970.7288099076131,2999.4071081594448
2018-06-16,6483.98,20,496.74,29.380183715330425,1165.4690383104125,1360.209266713212,970.7288099076131,3035.5457241213694
2018-06-17,6449.61,32,497.14,27.117779249400186,1165.4690383104125,1360.209266713212,970.7288099076131,3023.0755391624525
2018-06-18,6712.46,34,517.95,36.16388827358538,553.578,650.8729176148694,456.28308238513057,2842.6101452518146
2018-06-19,6741.21,30,537.97,33.57102757525849,552.617,650.1411102928965,455.0928897071033,2852.7171559673275
2018-06-20,6761.51,37,536.49,33.23493473931224,550.551,647.5773644908734,453.5246355091267,2860.08391805687
2018-06-21,6718.84,34,526.18,31.90588918417939,547.9100000000001,644.5505718438991,451.26942815610107,2842.120453014167
2018-06-22,6045.0,48,462.09,26.191174583386815,541.472,643.0950625710317,439.8489374289683,2580.6171672756445
2018-06-23,6149.98,53,473.41,29.45938415659091,534.1595,633.1055691966776,435.2134308033223,2618.2551064735835
2018-06-24,6136.97,52,454.41,37.69726841041233,527.329,628.5819854842499,426.07601451575,2610.655482185416
2018-06-25,6252.0,48,458.7,37.892422218576925,519.8115,617.790182165803,421.83281783419704,2651.1354940168135
2018-06-26,6070.78,52,429.34,40.43132188698115,510.9085,607.7287176092103,414.0882823907897,2577.829409375922
2018-06-27,6133.73,50,441.64,46.426372717754205,502.73249999999996,593.4664365223521,411.99856347764785,2598.5747209782885
2018-06-28,5853.98,52,420.22,31.913889762614016,493.8095,579.7899943546722,407.8290056453278,2485.89776075097
2018-06-29,6197.92,55,434.77,45.77242179268088,485.9045,562.0455949211372,409.7634050788628,2615.8307247532825
2018-06-30,6390.07,56,454.09,48.006842657090345,482.4035,557.5809423823932,407.2260576176067,2688.367526358237
2018-07-01,6356.81,60,452.1,48.02947296895572,478.424,550.9973630705412,405.8506369294588,2674.0479594591507
2018-07-02,6615.29,49,476.25,47.93284347304421,477.5865,549.8374956296373,405.33550437036274,2772.2232187286954
2018-07-03,6513.86,51,461.82,45.30852121947493,476.904,549.4962528561899,404.31174714381007,2732.8486554784204
2018-07-04,6586.98,47,467.38,46.475323426891165,474.3085,544.1808170165649,404.4361829834351,2759.5558710328373
2018-07-05,6529.2,40,467.87,46.19340489935526,473.328,542.9720672955985,403.68393270440134,2736.3201080691806
2018-07-06,6609.78,31,470.47,64.88080182117113,472.01450000000006,540.7848229981025,403.2441770018976,2767.4513693708595
2018-07-07,6756.98,26,485.57,65.64513634723441,471.436,539.507502469251,403.364497530749,2823.4739335651725
2018-07-08,6712.1,30,486.77,64.58410463695057,469.87700000000007,534.8193787028097,404.93462129719046,2805.71893112592
2018-07-09,6662.12,31,471.71,60.754594277083164,466.56399999999996,523.0960002159949,410.03199978400505,2784.7491226366983
2018-07-10,6296.91,28,432.48,55.4079714546733,461.36349999999993,509.29225865611363,413.43474134388623,2641.2414593426665
2018-07-11,6378.07,25,444.99,55.79301253722285,457.304,494.7173668204602,419.89063317953975,2670.3820778874788
2018-07-12,6250.57,27,431.14,60.13430982230014,455.7565000000001,494.8585636284099,416.65443637159024,2621.1171776786387
2018-07-13,6214.57,24,432.46,50.504934100792724,453.70899999999995,493.20543496237417,414.2125650376257,2605.354533392369
2018-07-14,6251.99,21,433.19,45.37884872824632,452.64799999999997,493.19134475855117,412.10465524144877,2618.6320652867876
2018-07-15,6353.01,23,449.78,49.87834238295256,452.20200000000006,492.66118988704557,411.74281011295454,2657.7800263371505
2018-07-16,6723.35,21,478.49,53.2283314013934,454.65950000000004,495.2423470247196,414.07665297528047,2801.4565639539533
2018-07-17,7317.44,22,498.76,68.54746385508798,457.5155000000001,502.084329076647,412.94667092335317,3032.5261895273143
2018-07-18,7381.9,22,479.41,68.4212233850261,460.475,502.3986134943216,418.55138650567847,3058.6747094911557
2018-07-19,7466.21,28,468.57,71.45022090973606,462.16499999999996,502.41738665693185,421.9126133430681,3092.576170839211
2018-07-20,7337.53,22,449.04,66.30081756075708,461.9125,502.44057831095813,421.3844216890419,3042.109678273904
2018-07-21,7398.78,21,460.23,64.95131155942785,462.3190000000001,502.5949826042401,422.04301739576005,3065.6742547353415
2018-07-22,7394.79,23,457.47,66.21275666022294,461.38,501.1610872810606,421.5989127189394,3063.957135127709
2018-07-23,7721.01,22,450.05,72.23017655826843,460.7915000000001,500.89213513081745,420.69086486918275,3189.5407058890974
2018-07-24,8397.24,22,479.28,89.00088016726892,461.38649999999996,502.244727941585,420.5282720584149,3451.1938369359436
2018-07-25,8175.64,33,472.1,81.7243241526097,461.59800000000007,502.6409144343255,420.55508556567463,3366.3471018578934
2018-07-26,7920.0,39,462.64,78.18792739552555,461.20649999999995,502.0419383116609,420.371061688339,3268.032840568887
2018-07-27,8188.57,52,470.09,80.90343225353965,460.4325,499.8870355274196,420.9779644725804,3372.1806486348873
2018-07-28,8225.04,51,469.29,80.89775029988694,459.5585,497.2934500289111,421.8235499710889,3385.726826946146
2018-07-29,8211.0,20,466.4,79.91075021974376,459.293,496.74159780946337,421.84440219053664,3377.743750016904
2018-07-30,8173.92,26,456.23,76.15873737209796,460.4805,495.7945195658175,425.1664804341825,3364.2032105670846
2018-07-31,7730.93,26,432.22,57.886425102897924,459.842,496.7606203768034,422.9233796231966,3192.122186546377
2018-08-01,7604.58,27,420.41,54.14918275931461,459.30550000000005,498.2372829705161,420.373717029484,3143.067860212255
2018-08-02,7525.71,23,410.62,51.110911956026555,458.2135,501.31740250985587,415.10959749014415,3111.6878393812335
2018-08-03,7418.78,25,417.52,51.52942328036352,457.43,502.9509689102344,411.9090310897656,3070.385340252336
2018-08-04,7009.84,20,407.21,43.52612586220672,455.3014999999999,506.0136267652308,404.589373234769,2911.118086604785
